gene	a100	a101	a102	a103	a104	a105	a106	a107	a108	a109	a10	a110	a111	a112	a113	a114	a115	a116	a117	a118	a119	a11	a120	a12	a13	a14	a15	a16	a17	a18	a19	a1	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a2	a30	a31	a32	a33	a34	a35	a36	a37	a38	a39	a3	a40	a41	a42	a43	a44	a45	a46	a47	a48	a49	a4	a50	a51	a52	a53	a54	a55	a56	a57	a58	a59	a5	a60	a61	a62	a63	a64	a65	a66	a67	a68	a69	a6	a70	a71	a72	a73	a74	a75	a76	a77	a78	a79	a7	a80	a81	a82	a83	a84	a85	a86	a87	a88	a89	a8	a90	a91	a92	a93	a94	a95	a96	a97	a98	a99	a9
aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	0.0005187178294227702	0.00016936374481044686	0.0002558036726110027	0.0003091436217969646	0.0011515267527442957	9.542513943760823e-05	0.0018006898050057266	0.0002821470407398471	0.00031672259779470525	0.000949615222787038	0.000374889807443841	0.00011055505998594934	0.00041182410534264534	0.00021717030008814765	0.00010243243336754924	0.00031486374599619263	0.000716282128740139	0.00018355739933432867	0.00020594448127631929	0.00020128844167867862	0.0002514754994725423	0.0005327297517139054	0.0006565356254848322	0.000826726949875686	0.0002401748643472128	2.9088755524965696e-05	3.11105633022903e-05	0.0002866956132730322	0.0002608513713206586	0.00023050562597812382	8.332621175318634e-05	0.00021384622968228926	0.00034064452692776393	0.00023982875698843977	0.00034419766727512716	0	0	0	2.8054483495844967e-05	0.0009884623042160016	2.9237641356003806e-05	0.00010338677506269578	0	0.0005073635005046005	0	0.0005832450151336268	0.0004415623071058189	0.00023274801028150496	0.0008350548980523351	0.00034512417678612343	0.00035090706119558475	0.00026788468572912303	0.00020903887690999065	0	0.00046744934411534184	0.0002965039001159287	0.0007707345689624824	0.0006660949399459494	0.00042718358455625673	5.846896186976303e-05	8.63403296652622e-05	0.0005835292589168687	6.686240278453218e-05	0.00023046137960961702	0.0005028244980736936	0.0004963035789032398	0.0003260909006143606	0.0001853964247275056	0.0004943935495362505	0.0006702002181130154	0.00013621636666472575	0.0002704886685029403	6.974321926547334e-05	8.624810816311638e-05	9.439680232854129e-05	0	0.0007040764544611779	7.44148341109247e-05	0.0005063607199122588	0.0007966631824545887	0.00028365262671378993	0.0004658100306842844	0.00036603679789598515	0.0008085129689986621	0.0005864115287352099	0.0005097328784611534	0	0.0005872747275054393	0.0001692012832159476	0.00036678663898174666	0.0003746936093313463	0	3.16880418421923e-05	0	0.0003200189236513431	0.00011049640998500361	5.411009137591328e-05	0.00018942894987275877	0.0004997525197761737	0.00031849977803159084	0	7.637683198515902e-05	0.0005886563402620834	4.832127713732266e-05	0.0005895309546243145	0.00041723122507249786	0.00010822531922013382	0.0009548715062980014	0.0001171219797627721	0.0002647811781964457	0	0.0005306825702709524	0.00033430251719510513	0.00013387373365315384	0.0008350649247229991	0.00028563111462196763	0.0003087288153798271	0.00028013083509435203	0.00020838535573198283	0.00010811494528119478
aminoglycoside__AAC(6')-Ii	0	0	7.572066529552493e-05	0	0	0	0	0	0	0	0	0	0	0.0001486611552475176	0	0	0	0	0	0	0	0	0.00026605827451038773	0	0	0	0	0	0	0	7.408905448057665e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007742813192784617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__AAC(6')-IIa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015533644600187796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43734301627287e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__AAC(6')-Iid	5.763325922069575e-05	0	0	0	0	0	0	0	0	0	5.5917294701228576e-05	0	0	0	0	0	0	0	0	0	0	6.388648132949372e-05	0	0	0	0	0.0008892048553006375	0	0	0	0.00021485825799367228	0	0	0.0001418421713760497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.185744663965137e-05	0	0	0	0	0	0.00014869082464902971	0	0	7.688436569634863e-05	0	0	0	0	0	0.00014584794509767585	0.0004138904306910218	0	0	7.22789343676928e-05	0	0	0	0	0	0	0	0	6.880035185177586e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.563729482436132e-05	0	0	0	0	7.330404495592868e-05	0	0.00013900932541219735	0	0	0	6.73034074408175e-05	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__AAC(6')-Im	0	0	0	0	6.600361153951332e-05	0	0	0	0	0	0	0	0	0	0	0	0.000512101847924725	0	0	0	0.00013960381738507686	0	6.561699187292494e-05	0	0	0	0	0	0	0	0.0005242175212079633	0	0	0.00012907637595220523	8.58296286817097e-05	0	7.081234068012937e-05	0.0001829062804393139	0	0	0	0	0	0.00021584696728929354	0	7.623953305761233e-05	6.12058331068337e-05	3.5412873249033054e-05	0	0	0	0.00014106666378516726	6.733685734622909e-05	0	0	0	5.7218446412724434e-05	0	0.00010793924492361458	0	0	0	0.00017992747715612874	0	0	6.763760134305836e-05	0	0	0	0	0	0	0.005679190344787495	0	0	0	0	0	0	0.0001392859258050896	0	0	6.979006967978331e-05	0.0002304211470169524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015525209413975674	0	0	6.943611926983597e-05	0.0007433947929880538	0	0	0.0010989289306056519	0	0	0	0	0	0	5.2625038958436444e-05	0	0.00027472929531786926	0	7.031344306338644e-05	0	5.9205076558194984e-05	0
aminoglycoside__aad(6)	0.0023486389101924567	0.0006570648415024493	0.0013874474384251562	0.0011766061794044134	0.0018795647754621364	0.00026923535895822685	0.001669333981972888	0.0015688422884261402	0.001750048907856478	0.0015566294363162252	0.0008700737349080802	0.001416995163312754	0.0021169242463178212	0.0012386598493195288	0.0015619003818583678	0.0014969393278171587	0.0005970757745894266	0.000691714469126898	0.0008556837412713311	0.000656454001992162	0.0016272483231134969	0.0008373133687262877	0.0010786800703251262	0.001244054045609363	0.0003644714415156636	0.00048884041607841	0.00026564363160594753	0.0007621493127641783	0.0006523975865788055	0.00045869902492086536	0.0006799377056450831	0.0006764659003831472	0.0005302708207586532	0.0007196958381458511	0.001233804852948935	0.0008774790513249796	0.0007916047118156182	0.0010767699866827476	0.0004853597264169107	0.0006432584946445186	0.00037254550674241203	0.0008726457317407323	0.00032101616349392785	0.0006435297089905898	0.0009961943632088809	0.0007890933053797828	0.0022372516888461615	0.001537543073712631	0.0010484995490083993	0.0019751929648608906	0.0024369033116188412	0.0029312453746951515	0.0006045338160155455	0.00011833165604893713	0.0010762933912734653	0.0007858285740777408	0.001307540961836776	0.0011569652030885703	0.0020631250028436917	0.0008303353401824898	0.0005429275090441004	0.0013161830351765603	0.0011817657484107195	0.0015588881982621706	0.0004384671828629865	0.0009983563234719068	0.0014685550378796717	0.0013446440722061888	0.0009917047283211267	0.0018693736619644315	0.0013812311036114934	0.00023272278562563292	0.0007783886234573755	0.0015371036764710198	0.0007497760075848592	0.00022652497217368815	0.0007705118961550534	0.0020540758559066444	0.0025026905729746115	0.002687735573613113	0.0016773953902475814	0.0009828027229206568	0.001655037044584654	0.001699353338453572	0.002075938253581473	0.0006561146803791615	0.0005233183727028631	0.00086083312488615	0.0015757906795023432	0.001494464877734994	0.0012404337906312048	0.0011552925686380867	0.0008596546977392637	0.0006431937420457253	0.0016330434530199306	0.0007565617190446007	0.0005107546358865462	0.0011823772590284045	0.0013537356239650823	0.0017534744743655409	0.0005358594471779647	0.002306343536546061	0.000764694418737599	0.0007277178008966599	0.001122066298052669	0.0011734417415325312	0.0015004268696039741	0.0037395525320811415	0.0005053753218179281	0.0010914822559150933	0.0018117970014375536	0.0010743672094372645	0.0015363894122052784	0.0024336546373339638	0.0013053969179796588	0.0021623379541822643	0.0012677677049141049	0.0007673685469460893	0.00133613762714986	0.0006735263298957059
aminoglycoside__aadA	0	0	0	0	0.0001417555607145605	0	7.309763094572054e-05	0	0	0	0	0	0	0	0	0	8.056102697491716e-05	0	0	0	0	0	0	0	9.969586101725459e-05	0	5.531788115667089e-05	0	0	0	4.078556715171498e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000170954588539463	3.1386412835946303e-05	0	0	8.758629745962372e-05	0.0001357492373306425	0	0	0	0	0	0	0	0	0	8.699896343208874e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.737810160305434e-05	0	0	0	0	0	3.303788280881725e-05	0	0	0	0	0	0	4.62338472202562e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.864705879827783e-05
aminoglycoside__aadA12	0	0	0	5.211245084709259e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.469547843542122e-05	0	0	0	0	0	0	0	0	3.1386412835946303e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8364128991125344e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015729553045910438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04617167609347e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015609936672937735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA22	0	0	0	0	0	0	4.109031847534343e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.872884200283448e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87319170442898e-05	0.00011685639668157139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7536524408482844e-05	0	0	0	0	0	0	0	0	0	0	0	0	4.538575609465553e-05	0	0	0	0	0	0	0	0	0	0	0	4.9484533523738293e-05	0.00041412733908152103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015639669885648093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015639669885648093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00034741704124953887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.127075253028498e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23106880599105e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001149563651935428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12644742987123e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.53029625604255e-05	7.926798598031051e-05	0	0	0	0	0.00020557346038296506	0	0	0	0	0.00010284938463865691	0	0	0	0	0	0	0.00022304938210070563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.206294846135333e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00016107680493114996
aminoglycoside__aadK	0	0	3.0085633351926166e-05	0	0	0	0	0	0	0	1.9014130391363442e-05	0	2.6200656875193145e-05	2.8567553853920605e-05	0	0	0	0	0	0	0	0	2.3133455321396513e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8670359614623228e-05	2.1311890244554767e-05	0	3.163794157992775e-05	2.5482311154159487e-05	0	2.486672484417231e-05	0	0	0	0	2.8689812567506895e-05	0	1.9854409488016368e-05	0	0	0	0	0	0	0	5.286962072967393e-05	2.337705321114723e-05	0	0	0	0	0	2.5763615743860238e-05	0	0	3.377132860388773e-05	0	2.480649376370375e-05	0	6.123430342357734e-05	0	0	2.6169865596074137e-05	0	0	0	2.7803036693327374e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3500703465551522e-05	2.8460505259146034e-05	0	0	0	2.3969236832542798e-05	2.294126378107718e-05	0	0	2.9374185258571376e-05	0	0	2.6943764130882317e-05	2.2610740836731735e-05	0	4.5832480915120055e-05	0	2.0780147997608717e-05	0
aminoglycoside__aadS	0	0	0	0	0.00020304274758190077	0	0	7.896752480068017e-05	0	0	0	0	0	0.00019045035902613737	0	0	0	0	0.00020444109095278022	0.00026300402849637535	0	0	0	9.914319325490287e-05	7.8122338400987e-05	0	0	0	0	0	4.69833028413413e-05	0	0	0	0	0	0.0001739170825735526	0	0	8.1915754902549e-05	0	0	0	0	0.00011294588214486456	0	0	0	0	0	0	0	0	0	0	0	7.80722774049578e-05	0	0	0	0	0	0.00026224273064253886	0	0	0	9.342317251883646e-05	8.007470920355444e-05	8.285346503300868e-05	0.000602179479462228	6.96698411271029e-05	0	0	0	0.00011253376882869904	0	0	0	4.545776376882092e-05	0	0	0	0	0	0.00010118306122110097	0	0	0	0	0	8.379375118605112e-05	3.377437924309983e-05	0	0	0.00013175076105297116	0	9.235932631438037e-05	0	5.015039335960494e-05	0	0.00012621986407387507	0	0	0.00042628073404916354	0.00017454146517609562	0	0.00018245144091241368	0	0	0	7.993462957123431e-05	0	3.0509926389022306e-05	0	0	0	8.721806874761523e-05	4.717281476660486e-05	0	8.931914320870275e-05
aminoglycoside__amrB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65502500224608e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.961335897075325e-06	0	0
aminoglycoside__ANT(4')-Ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.187379658822243e-05	0	0	0	0	0	0	0	0
