"Pathway","Group_ref","Group_test","Comparison","Mean_ref","Mean_test","Median_ref","Median_test","Prevalence_ref","Prevalence_test","Mean_difference","Log2FC","P_value","FDR","Pathway_ID","Description","Direction","NegLog10P","NegLog10FDR"
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)","ITM","OTM1","OTM1 vs ITM",4.42444033333333e-06,3.00362466666667e-06,2.56206e-06,2.70913e-06,30,30,-1.42081566666667e-06,-0.558775005255826,0.520144612161604,0.675743427765502,"PWY-6292","superpathway of L-cysteine biosynthesis (mammalian)","Not significant",0.283875895725823,0.170218169527212
"PWY-621: sucrose degradation III (sucrose invertase)","ITM","OTM1","OTM1 vs ITM",1.6527576e-05,1.48847116666667e-05,1.5265e-05,1.43184e-05,30,30,-1.64286433333333e-06,-0.151042910069401,0.520144612161604,0.675743427765502,"PWY-621","sucrose degradation III (sucrose invertase)","Not significant",0.283875895725823,0.170218169527212
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation","ITM","OTM1","OTM1 vs ITM",9.85471566666667e-06,9.23277433333333e-06,1.015144e-05,9.85343e-06,30,29,-6.21941333333334e-07,-0.0940490354870745,0.539510316799405,0.689122421458063,"FUC-RHAMCAT-PWY","superpathway of fucose and rhamnose degradation","Not significant",0.268000246094671,0.161703619542429
"PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)","ITM","OTM1","OTM1 vs ITM",1.95450966666667e-06,2.06905366666667e-06,1.93266e-06,2.06642e-06,26,23,1.14544e-07,0.0821602598672244,0.538265790080762,0.689122421458063,"PROPFERM-PWY","superpathway of L-alanine fermentation (Stickland reaction)","Not significant",0.269003221245563,0.161703619542429
"PWY-8188: L-alanine degradation VI (reductive Stickland reaction)","ITM","OTM1","OTM1 vs ITM",1.95450966666667e-06,2.06905366666667e-06,1.93266e-06,2.06642e-06,26,23,1.14544e-07,0.0821602598672244,0.538265790080762,0.689122421458063,"PWY-8188","L-alanine degradation VI (reductive Stickland reaction)","Not significant",0.269003221245563,0.161703619542429
"PWY-8189: L-alanine degradation V (oxidative Stickland reaction)","ITM","OTM1","OTM1 vs ITM",1.95450966666667e-06,2.06905366666667e-06,1.93266e-06,2.06642e-06,26,23,1.14544e-07,0.0821602598672244,0.538265790080762,0.689122421458063,"PWY-8189","L-alanine degradation V (oxidative Stickland reaction)","Not significant",0.269003221245563,0.161703619542429
"PWY-8131: 5'-deoxyadenosine degradation II","ITM","OTM1","OTM1 vs ITM",2.4649428e-06,2.33338853333333e-06,2.167365e-06,1.882935e-06,28,27,-1.31554266666667e-07,-0.0791243180443077,0.549215783886058,0.692926732022696,"PWY-8131","5'-deoxyadenosine degradation II","Not significant",0.260256990087656,0.159312683945845
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)","ITM","OTM1","OTM1 vs ITM",0.000331033133333333,0.0003354788,0.0003210575,0.0003306645,30,30,4.44566666666664e-06,0.0192459703281143,0.549326784267993,0.692926732022696,"GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","Not significant",0.260169224979731,0.159312683945845
"TRNA-CHARGING-PWY: tRNA charging","ITM","OTM1","OTM1 vs ITM",0.0006144967,0.0006199297,0.0006144195,0.000614909,30,30,5.433e-06,0.0126993581771182,0.549326784267993,0.692926732022696,"TRNA-CHARGING-PWY","tRNA charging","Not significant",0.260169224979731,0.159312683945845
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I","ITM","OTM1","OTM1 vs ITM",2.5380444e-06,3.48217253333333e-06,6.80596e-07,0,17,13,9.44128133333333e-07,0.456254967891241,0.558710340283081,0.696746241314507,"PWY-7184","pyrimidine deoxyribonucleotides de novo biosynthesis I","Not significant",0.252813290898065,0.156925365464708
"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III","ITM","OTM1","OTM1 vs ITM",2.47667746666667e-06,3.3493987e-06,6.79653e-07,0,17,13,8.72721233333333e-07,0.43548094070483,0.558710340283081,0.696746241314507,"PWY-6545","pyrimidine deoxyribonucleotides de novo biosynthesis III","Not significant",0.252813290898065,0.156925365464708
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)","ITM","OTM1","OTM1 vs ITM",0.000188234533333333,0.000183518466666667,0.000185724,0.000182952,30,30,-4.71606666666667e-06,-0.0366060656371713,0.559230535791907,0.696746241314507,"COA-PWY","coenzyme A biosynthesis I (prokaryotic)","Not significant",0.252409122734732,0.156925365464708
"PWY0-862: (5Z)-dodecenoate biosynthesis I","ITM","OTM1","OTM1 vs ITM",4.86727043333333e-06,5.30665126666667e-06,4.015115e-06,5.117505e-06,29,28,4.39380833333333e-07,0.12468635388811,0.569198698669457,0.70627103834904,"PWY0-862","(5Z)-dodecenoate biosynthesis I","Not significant",0.244736101492392,0.15102860224817
"PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I","ITM","OTM1","OTM1 vs ITM",1.9831752e-06,1.63345503333333e-06,1.341025e-06,1.213705e-06,24,20,-3.49720166666667e-07,-0.279869821366863,0.575664321010713,0.710102580713396,"PYRIDOXSYN-PWY","pyridoxal 5'-phosphate biosynthesis I","Not significant",0.239830686765717,0.148678908999543
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis","ITM","OTM1","OTM1 vs ITM",1.57270423333333e-05,1.4994174e-05,1.47666e-05,1.428285e-05,30,30,-7.32868333333332e-07,-0.0688448819660567,0.579294210581981,0.710102580713396,"PWY-7315","dTDP-N-acetylthomosamine biosynthesis","Not significant",0.23710081178208,0.148678908999543
"PWY-8178: pentose phosphate pathway (non-oxidative branch) II","ITM","OTM1","OTM1 vs ITM",0.000169241866666667,0.000166108033333333,0.0001663415,0.00016651,30,30,-3.13383333333333e-06,-0.0269646403827807,0.579294210581981,0.710102580713396,"PWY-8178","pentose phosphate pathway (non-oxidative branch) II","Not significant",0.23710081178208,0.148678908999543
"""GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation""","ITM","OTM1","OTM1 vs ITM",1.41466746666667e-05,1.490724e-05,1.390635e-05,1.439765e-05,30,30,7.60565333333333e-07,0.0755496829790796,0.59968948451237,0.729222413167042,"""GLCMANNANAUT-PWY","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation""","Not significant",0.222073566400325,0.137139991463609
"PWY-5130: 2-oxobutanoate degradation I","ITM","OTM1","OTM1 vs ITM",2.04033966666667e-05,2.14802043333333e-05,1.99878e-05,2.146165e-05,30,30,1.07680766666666e-06,0.0741980171173972,0.59968948451237,0.729222413167042,"PWY-5130","2-oxobutanoate degradation I","Not significant",0.222073566400325,0.137139991463609
"CITRULBIO-PWY: L-citrulline biosynthesis","ITM","OTM1","OTM1 vs ITM",2.07689726666667e-05,1.91086801e-05,1.832705e-05,1.854255e-05,30,30,-1.66029256666667e-06,-0.120201121742143,0.63087629216172,0.761057114353821,"CITRULBIO-PWY","L-citrulline biosynthesis","Not significant",0.200055792734771,0.118582749907561
"FERMENTATION-PWY: mixed acid fermentation","ITM","OTM1","OTM1 vs ITM",9.549101e-05,9.77296966666667e-05,9.21305e-05,9.425375e-05,30,30,2.23868666666667e-06,0.033432062176706,0.63087629216172,0.761057114353821,"FERMENTATION-PWY","mixed acid fermentation","Not significant",0.200055792734771,0.118582749907561
"PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","ITM","OTM1","OTM1 vs ITM",3.06968166666667e-06,3.314215e-06,3.1245e-06,3.44783e-06,19,22,2.44533333333334e-07,0.110574676221631,0.636024013394407,0.764234387635967,"PWY-7332","superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","Not significant",0.196526487043715,0.116773424610779
"""PWY-7237: myo-, chiro- and scyllo-inositol degradation""","ITM","OTM1","OTM1 vs ITM",3.20918666666667e-05,3.174687e-05,4.89032e-05,4.69941e-05,18,17,-3.44996666666666e-07,-0.0155932993738345,0.639675801999819,0.76559623546435,"""PWY-7237","myo-, chiro- and scyllo-inositol degradation""","Not significant",0.194040077696882,0.116000210708067
"PWY-5695: inosine 5'-phosphate degradation","ITM","OTM1","OTM1 vs ITM",0.000177263333333333,0.00017192545,0.000186657,0.0001803095,30,30,-5.33788333333332e-06,-0.0441110006965457,0.652043622400636,0.777338279254091,"PWY-5695","inosine 5'-phosphate degradation","Not significant",0.185723348540855,0.109389945366057
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)","ITM","OTM1","OTM1 vs ITM",0.000433384033333333,0.0004268905,0.0004296135,0.0004225965,30,30,-6.49353333333333e-06,-0.0217799405233378,0.662734758176107,0.786997525334127,"ARGSYNBSUB-PWY","L-arginine biosynthesis II (acetyl cycle)","Not significant",0.178660251548288,0.104026633251384
"PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis","ITM","OTM1","OTM1 vs ITM",2.365301e-06,2.3354491e-06,2.45905e-06,2.044605e-06,27,23,-2.98518999999999e-08,-0.0183230053846508,0.667388747190861,0.789440385782186,"PWY-6953","dTDP-3-acetamido-&alpha;-D-fucose biosynthesis","Not significant",0.175621120237586,0.102680659960127
"PWY-4984: urea cycle","ITM","OTM1","OTM1 vs ITM",1.77885526666667e-05,1.63579473333333e-05,1.55671e-05,1.5718e-05,30,29,-1.43060533333333e-06,-0.120956699863054,0.673495052801603,0.790511567767133,"PWY-4984","urea cycle","Not significant",0.171665590065503,0.102091770538001
"PWY-7242: D-fructuronate degradation","ITM","OTM1","OTM1 vs ITM",4.250492e-05,4.33630466666667e-05,4.07631e-05,4.110015e-05,30,30,8.58126666666662e-07,0.0288362113883713,0.673495052801603,0.790511567767133,"PWY-7242","D-fructuronate degradation","Not significant",0.171665590065503,0.102091770538001
"COLANSYN-PWY: colanic acid building blocks biosynthesis","ITM","OTM1","OTM1 vs ITM",3.189702e-05,3.00729666666667e-05,3.04271e-05,3.085495e-05,30,30,-1.82405333333333e-06,-0.0849541759320765,0.69521539906691,0.812867235832079,"COLANSYN-PWY","colanic acid building blocks biosynthesis","Not significant",0.157880616801453,0.0899803811635168
"PWY-6609: adenine and adenosine salvage III","ITM","OTM1","OTM1 vs ITM",0.000382306266666667,0.000375122866666667,0.0003819335,0.000372689,30,30,-7.18339999999999e-06,-0.0273656322252994,0.70617148828123,0.822513917385034,"PWY-6609","adenine and adenosine salvage III","Not significant",0.151089821086289,0.0848567448158162
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","ITM","OTM1","OTM1 vs ITM",4.82520306666667e-06,5.11531143333333e-06,4.00084e-06,4.91907e-06,29,28,2.90108366666667e-07,0.0842307230956633,0.717173771689903,0.832140559518056,"PWY-6282","palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","Not significant",0.144375601734831,0.0798033094458229
"PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)","ITM","OTM1","OTM1 vs ITM",3.13334333333333e-06,3.02840333333333e-07,0,0,2,3,-2.830503e-06,-3.37064332721256,0.722827035096664,0.832346282838582,"PWY-6471","peptidoglycan biosynthesis IV (Enterococcus faecium)","Not significant",0.140965612373247,0.0796959556343239
"PWY-5022: 4-aminobutanoate degradation V","ITM","OTM1","OTM1 vs ITM",9.80417633333333e-06,9.92840566666667e-06,9.433275e-06,9.12137e-06,30,30,1.24229333333334e-07,0.0181654478331116,0.722716098281243,0.832346282838582,"PWY-5022","4-aminobutanoate degradation V","Not significant",0.141032271396778,0.0796959556343239
"PWY-7664: oleate biosynthesis IV (anaerobic)","ITM","OTM1","OTM1 vs ITM",5.5376032e-06,5.86927666666667e-06,4.62693e-06,5.67339e-06,29,28,3.31673466666666e-07,0.0839195631322295,0.728250792144085,0.83542732381812,"PWY-7664","oleate biosynthesis IV (anaerobic)","Not significant",0.137719034302605,0.0780913246306593
"PWY-5659: GDP-mannose biosynthesis","ITM","OTM1","OTM1 vs ITM",1.87253933333333e-05,1.75477086666667e-05,1.73376e-05,1.74807e-05,30,30,-1.17768466666667e-06,-0.0937128467080396,0.73939881931145,0.845027222070228,"PWY-5659","GDP-mannose biosynthesis","Not significant",0.131121247253488,0.073129300275801
"FUCCAT-PWY: fucose degradation","ITM","OTM1","OTM1 vs ITM",5.79403e-06,5.85741033333333e-06,5.82328e-06,6.018165e-06,30,30,6.33803333333327e-08,0.015695540174156,0.750587231522306,0.848247280233387,"FUCCAT-PWY","fucose degradation","Not significant",0.12459882778141,0.0714775241750647
"PWY-6124: inosine-5'-phosphate biosynthesis II","ITM","OTM1","OTM1 vs ITM",0.000313069566666667,0.0003104853,0.0003077635,0.000306561,30,30,-2.5842666666667e-06,-0.0119583024814232,0.750587231522306,0.848247280233387,"PWY-6124","inosine-5'-phosphate biosynthesis II","Not significant",0.12459882778141,0.0714775241750647
"PWY-6123: inosine-5'-phosphate biosynthesis I","ITM","OTM1","OTM1 vs ITM",0.000335649466666667,0.0003343368,0.0003317795,0.0003293515,30,30,-1.31266666666664e-06,-0.00565318915452646,0.750587231522306,0.848247280233387,"PWY-6123","inosine-5'-phosphate biosynthesis I","Not significant",0.12459882778141,0.0714775241750647
"PWY-5989: stearate biosynthesis II (bacteria and plants)","ITM","OTM1","OTM1 vs ITM",4.84147e-06,5.12247646666667e-06,3.995805e-06,4.91223e-06,29,28,2.81006466666666e-07,0.0813946617901986,0.761815509781374,0.854597111307691,"PWY-5989","stearate biosynthesis II (bacteria and plants)","Not significant",0.118150189795447,0.0682385795099876
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)","ITM","OTM1","OTM1 vs ITM",0.000114066586666667,0.00010798032,0.000107129,0.0001070665,30,30,-6.08626666666666e-06,-0.0791077786538344,0.761828345935475,0.854597111307691,"PWY66-429","fatty acid biosynthesis initiation (mitochondria)","Not significant",0.118142872244336,0.0682385795099876
"PWY-6803: phosphatidylcholine acyl editing","ITM","OTM1","OTM1 vs ITM",1.8673725e-06,1.09801273333333e-06,2.04057e-07,0,15,14,-7.69359766666667e-07,-0.766060827914725,0.76832875615836,0.855574878652532,"PWY-6803","phosphatidylcholine acyl editing","Not significant",0.114452912214501,0.067741975646503
"PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II","ITM","OTM1","OTM1 vs ITM",3.111359e-06,3.63415333333333e-06,2.53954e-06,3.13577e-06,19,18,5.22794333333334e-07,0.224067753376987,0.766648483027166,0.855574878652532,"PWY-7282","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II","Not significant",0.115403719329828,0.067741975646503
"FASYN-ELONG-PWY: fatty acid elongation -- saturated","ITM","OTM1","OTM1 vs ITM",6.18508863333333e-06,6.50813233333333e-06,5.22191e-06,6.39211e-06,29,28,3.23043700000001e-07,0.0734481592103676,0.77310767897041,0.857754505135054,"FASYN-ELONG-PWY","fatty acid elongation -- saturated","Not significant",0.111760013034033,0.0666369922456674
"PWY-7948: 4-oxopentanoate degradation","ITM","OTM1","OTM1 vs ITM",1.23529556666667e-06,1.21531516666667e-06,1.10985e-06,1.32116e-06,22,24,-1.99804000000001e-08,-0.0235238586594276,0.783118520151173,0.865701927730751,"PWY-7948","4-oxopentanoate degradation","Not significant",0.106172505180347,0.0626316154018559
"PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","ITM","OTM1","OTM1 vs ITM",2.71396746666667e-06,3.86747736666667e-06,1.81975e-07,0,15,13,1.1535099e-06,0.510973567587094,0.797320165770932,0.871889677677566,"PWY0-166","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","Not significant",0.0983672516193151,0.0595384639286377
"PWY-6608: guanosine nucleotides degradation III","ITM","OTM1","OTM1 vs ITM",1.73016876666667e-05,1.7695361e-05,1.55294e-05,1.566555e-05,30,30,3.93673333333332e-07,0.0324582385209502,0.795845542466455,0.871889677677566,"PWY-6608","guanosine nucleotides degradation III","Not significant",0.0991712118647521,0.0595384639286377
"PWY-2941: L-lysine biosynthesis II","ITM","OTM1","OTM1 vs ITM",0.000147765166666667,0.0001452562,0.0001477445,0.0001463185,30,30,-2.50896666666666e-06,-0.0247064560548548,0.795845542466455,0.871889677677566,"PWY-2941","L-lysine biosynthesis II","Not significant",0.0991712118647521,0.0595384639286377
"PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","ITM","OTM1","OTM1 vs ITM",1.3798407e-06,1.68503893333333e-06,1.078137e-06,1.339385e-06,19,18,3.05198233333333e-07,0.288261269459866,0.813519992575125,0.885760422266478,"PWY0-845","superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","Not significant",0.0896317696375525,0.05268372885514
"HSERMETANA-PWY: L-methionine biosynthesis III","ITM","OTM1","OTM1 vs ITM",0.000122105176666667,0.00011426401,0.0001073275,0.000110075,30,30,-7.84116666666666e-06,-0.0957532177072446,0.81874565347658,0.885760422266478,"HSERMETANA-PWY","L-methionine biosynthesis III","Not significant",0.0868509925588139,0.05268372885514
"1CMET2-PWY: folate transformations III (E. coli)","ITM","OTM1","OTM1 vs ITM",9.86387166666667e-05,0.00010122835,9.842065e-05,0.0001020925,30,30,2.58963333333333e-06,0.0373874153356647,0.81874565347658,0.885760422266478,"1CMET2-PWY","folate transformations III (E. coli)","Not significant",0.0868509925588139,0.05268372885514
"PWY-5005: biotin biosynthesis II","ITM","OTM1","OTM1 vs ITM",3.10198893333333e-06,3.10993256666667e-06,2.540425e-06,2.82619e-06,25,20,7.94363333333303e-09,0.00368964021810026,0.840572765075816,0.906149363769674,"PWY-5005","biotin biosynthesis II","Not significant",0.0754246854332488,0.0428002101438561
"PWY-6703: preQ0 biosynthesis","ITM","OTM1","OTM1 vs ITM",6.100211e-05,6.16183866666667e-05,6.010565e-05,6.012065e-05,30,30,6.1627666666667e-07,0.0145017407526078,0.853381736754793,0.916706883298435,"PWY-6703","preQ0 biosynthesis","Not significant",0.0688566557249923,0.0377695076405287
"PPGPPMET-PWY: ppGpp metabolism","ITM","OTM1","OTM1 vs ITM",5.08076633333333e-06,5.06160666666667e-06,4.77348e-06,4.769505e-06,30,30,-1.91596666666664e-08,-0.00545060685574075,0.888302842153389,0.950859380333205,"PPGPPMET-PWY","ppGpp metabolism","Not significant",0.0514389483497136,0.0218837047879976
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast","ITM","OTM1","OTM1 vs ITM",2.9867635e-06,3.36929356666667e-06,2.155495e-06,2.532725e-06,29,27,3.82530066666666e-07,0.173857646459515,0.905836423944943,0.96571264284706,"ALLANTOINDEG-PWY","superpathway of allantoin degradation in yeast","Not significant",0.0429502201950622,0.015152082892361
"PWY-7663: gondoate biosynthesis (anaerobic)","ITM","OTM1","OTM1 vs ITM",5.73488866666667e-05,5.81086e-05,5.609115e-05,5.27168e-05,30,30,7.59713333333331e-07,0.0189861846143504,0.911708975319428,0.96571264284706,"PWY-7663","gondoate biosynthesis (anaerobic)","Not significant",0.0401437697671224,0.015152082892361
"CALVIN-PWY: Calvin-Benson-Bassham cycle","ITM","OTM1","OTM1 vs ITM",0.000281270533333333,0.000283248233333333,0.00028239,0.000281032,30,30,1.97770000000003e-06,0.0101085342523186,0.911708975319428,0.96571264284706,"CALVIN-PWY","Calvin-Benson-Bassham cycle","Not significant",0.0401437697671224,0.015152082892361
"PWY66-399: gluconeogenesis III","ITM","OTM1","OTM1 vs ITM",9.945114e-05,9.68532833333333e-05,0.000105089,0.0001063525,30,30,-2.59785666666667e-06,-0.0381869126104821,0.923442131978236,0.971371654399251,"PWY66-399","gluconeogenesis III","Not significant",0.0345903146795735,0.0126145738273677
"SALVADEHYPOX-PWY: adenosine nucleotides degradation II","ITM","OTM1","OTM1 vs ITM",1.45185726666667e-05,1.46275013333333e-05,1.312275e-05,1.3246e-05,30,30,1.08928666666668e-07,0.0107836479465109,0.923442131978236,0.971371654399251,"SALVADEHYPOX-PWY","adenosine nucleotides degradation II","Not significant",0.0345903146795735,0.0126145738273677
"PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis","ITM","OTM1","OTM1 vs ITM",3.15138856666667e-06,3.51223593333333e-06,2.84415e-06,2.79547e-06,29,30,3.60847366666667e-07,0.156397407615062,0.946955942225594,0.97916532801558,"PWY-7312","dTDP-&beta;-D-fucofuranose biosynthesis","Not significant",0.0236702263752005,0.00914397317860407
"PWY-8182: valproate &beta;-oxidation","ITM","OTM1","OTM1 vs ITM",1.77136656666667e-06,1.72793293333333e-06,1.580385e-06,1.85808e-06,22,24,-4.34336333333335e-08,-0.0358135243197629,0.946617930910856,0.97916532801558,"PWY-8182","valproate &beta;-oxidation","Not significant",0.0238252733500804,0.00914397317860407
"PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)","ITM","OTM1","OTM1 vs ITM",0.000117156553333333,0.000118773976666667,0.0001152525,0.0001161705,30,30,1.61742333333334e-06,0.0197811042145429,0.946955942225594,0.97916532801558,"PYRIDNUCSYN-PWY","NAD de novo biosynthesis I (from aspartate)","Not significant",0.0236702263752005,0.00914397317860407
"PWY-5505: L-glutamate and L-glutamine biosynthesis","ITM","OTM1","OTM1 vs ITM",2.19843933333333e-05,2.220028e-05,2.066715e-05,2.061785e-05,30,30,2.15886666666667e-07,0.0140980873498957,0.946955942225594,0.97916532801558,"PWY-5505","L-glutamate and L-glutamine biosynthesis","Not significant",0.0236702263752005,0.00914397317860407
"PWY0-1296: purine ribonucleosides degradation","ITM","OTM1","OTM1 vs ITM",0.000303541766666667,0.000305399533333333,0.0003007305,0.000299645,30,30,1.85776666666664e-06,0.00880281298755778,0.946955942225594,0.97916532801558,"PWY0-1296","purine ribonucleosides degradation","Not significant",0.0236702263752005,0.00914397317860407
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation","ITM","OTM1","OTM1 vs ITM",1.03609036666667e-05,9.883391e-06,1.005079e-05,1.008644e-05,30,29,-4.77512666666668e-07,-0.0680711442724012,0.970516051300281,0.980188968755101,"GALACT-GLUCUROCAT-PWY","superpathway of hexuronide and hexuronate degradation","Not significant",0.0129972774487324,0.00869018943382209
"REDCITCYC: TCA cycle VI (Helicobacter)","ITM","OTM1","OTM1 vs ITM",4.08673966666667e-06,3.91083833333333e-06,4.299035e-06,4.292425e-06,28,26,-1.75901333333333e-07,-0.0634708570008082,0.970501710914601,0.980188968755101,"REDCITCYC","TCA cycle VI (Helicobacter)","Not significant",0.0130036946495337,0.00869018943382209
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis","ITM","OTM1","OTM1 vs ITM",0.0004704031,0.000463554566666667,0.000468629,0.000474068,30,30,-6.84853333333333e-06,-0.0211583895262421,0.958731490813444,0.980188968755101,"DTDPRHAMSYN-PWY","dTDP-&beta;-L-rhamnose biosynthesis","Not significant",0.0183030074134243,0.00869018943382209
"NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)","ITM","OTM1","OTM1 vs ITM",5.04424133333333e-06,5.10608033333333e-06,5.1021e-06,4.57539e-06,30,30,6.1839e-08,0.017578588632316,0.970516051300281,0.980188968755101,"NAGLIPASYN-PWY","lipid IVA biosynthesis (E. coli)","Not significant",0.0129972774487324,0.00869018943382209
"PWY-8073: lipid IVA biosynthesis (P. putida)","ITM","OTM1","OTM1 vs ITM",5.04424133333333e-06,5.10608033333333e-06,5.1021e-06,4.57539e-06,30,30,6.1839e-08,0.017578588632316,0.970516051300281,0.980188968755101,"PWY-8073","lipid IVA biosynthesis (P. putida)","Not significant",0.0129972774487324,0.00869018943382209
"PWY-5973: cis-vaccenate biosynthesis","ITM","OTM1","OTM1 vs ITM",6.54072266666667e-05,6.61233966666667e-05,6.443505e-05,6.11324e-05,30,30,7.16169999999996e-07,0.0157107678933406,0.970516051300281,0.980188968755101,"PWY-5973","cis-vaccenate biosynthesis","Not significant",0.0129972774487324,0.00869018943382209
"PWY-6527: stachyose degradation","ITM","OTM1","OTM1 vs ITM",0.00010378705,0.000104668103333333,0.0001036145,0.0001028565,30,30,8.81053333333322e-07,0.0121954060994999,0.970516051300281,0.980188968755101,"PWY-6527","stachyose degradation","Not significant",0.0129972774487324,0.00869018943382209
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis","ITM","OTM1","OTM1 vs ITM",8.99148766666667e-06,8.30814033333333e-06,7.95545e-06,8.545175e-06,30,30,-6.83347333333332e-07,-0.114032928655002,0.982307053080085,0.988812397802469,"PWY-1269","CMP-3-deoxy-D-manno-octulosonate biosynthesis","Not significant",0.00775273765661403,0.00488609700501089
"NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)","ITM","OTM1","OTM1 vs ITM",6.67974733333333e-06,7.12641e-06,6.22501e-06,5.98612e-06,30,30,4.46662666666667e-07,0.0933806013277884,0.994101921325495,0.997382785752312,"NAD-BIOSYNTHESIS-II","NAD salvage pathway III (to nicotinamide riboside)","Not significant",0.00256908682997657,0.00113813172352787
"PWY-6588: pyruvate fermentation to acetone","ITM","OTM1","OTM1 vs ITM",6.14617933333333e-06,6.177685e-06,5.8956e-06,6.0291e-06,30,30,3.15056666666662e-08,0.00737632762184161,1,1,"PWY-6588","pyruvate fermentation to acetone","Not significant",0,0
"PENTOSE-P-PWY: pentose phosphate pathway","ITM","OTM2","OTM2 vs ITM",5.288233e-05,1.06175042666667e-05,5.034805e-05,5.91708e-06,30,30,-4.22648257333333e-05,-2.31633019537006,1.69795260171024e-08,5.16177590919913e-06,"PENTOSE-P-PWY","pentose phosphate pathway","Enriched in ITM",7.77007443723871,5.28720085362996
"PWY-622: starch biosynthesis","ITM","OTM2","OTM2 vs ITM",0.000117802235666667,2.38156576666667e-05,0.0001315265,5.058255e-06,30,22,-9.3986578e-05,-2.30637979179424,8.06384551471391e-08,8.46335586211026e-06,"PWY-622","starch biosynthesis","Enriched in ITM",7.09345780093203,5.0724573977872
"PWY-6901: superpathway of glucose and xylose degradation","ITM","OTM2","OTM2 vs ITM",4.83687033333333e-05,1.66109693333333e-05,4.785035e-05,1.2304e-05,30,30,-3.1757734e-05,-1.54193189586625,8.35199591655617e-08,8.46335586211026e-06,"PWY-6901","superpathway of glucose and xylose degradation","Enriched in ITM",7.07820972667629,5.0724573977872
"P124-PWY: Bifidobacterium shunt","ITM","OTM2","OTM2 vs ITM",5.84031893333333e-05,9.343964e-06,4.53305e-05,5.11371e-06,30,28,-4.90592253333333e-05,-2.64392756469269,2.37590765352535e-07,1.80568981667926e-05,"P124-PWY","Bifidobacterium shunt","Enriched in ITM",6.62417044346516,4.74335685118436
"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis","ITM","OTM2","OTM2 vs ITM",0.000106580956666667,3.1501917e-05,0.00010071295,2.21483e-05,30,30,-7.50790396666667e-05,-1.75843493240867,3.80526281010078e-07,1.92799982378439e-05,"PWY0-162","superpathway of pyrimidine ribonucleotides de novo biosynthesis","Enriched in ITM",6.41961534335201,4.7148930101269
"""PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type""","ITM","OTM2","OTM2 vs ITM",4.19164283333333e-05,1.62104559e-05,4.328135e-05,1.338385e-05,30,29,-2.57059724333333e-05,-1.3705856677287,3.80526281010078e-07,1.92799982378439e-05,"""PWY-241","C4 photosynthetic carbon assimilation cycle, NADP-ME type""","Enriched in ITM",6.41961534335201,4.7148930101269
"PWY0-1061: superpathway of L-alanine biosynthesis","ITM","OTM2","OTM2 vs ITM",9.17619266666667e-05,3.72534766666667e-05,7.757445e-05,3.341205e-05,30,30,-5.450845e-05,-1.30051831176531,5.18567513938217e-07,2.25206463196026e-05,"PWY0-1061","superpathway of L-alanine biosynthesis","Enriched in ITM",6.28519469342722,4.64741914983272
