"Pathway","Group_ref","Group_test","Comparison","Mean_ref","Mean_test","Median_ref","Median_test","Prevalence_ref","Prevalence_test","Mean_difference","Log2FC","P_value","FDR","Pathway_ID","Description","Direction","NegLog10P","NegLog10FDR"
"PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)","ITM","OTM1","OTM1 vs ITM",2.93637553333333e-06,1.66534846666667e-06,2.202825e-06,1.30678e-06,27,18,-1.27102706666667e-06,-0.81817490343025,0.0349908536015237,0.156429698453871,"PWY-5347","superpathway of L-methionine biosynthesis (transsulfuration)","Not significant",1.45604546277832,0.805680791875803
"MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis","ITM","OTM1","OTM1 vs ITM",2.91782086666667e-06,1.65493223333333e-06,2.20485e-06,1.307405e-06,27,18,-1.26288863333333e-06,-0.818081443063478,0.0337232745328517,0.156429698453871,"MET-SAM-PWY","superpathway of S-adenosyl-L-methionine biosynthesis","Not significant",1.47207026196834,0.805680791875803
"""PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle""","ITM","OTM1","OTM1 vs ITM",2.1984957e-06,1.27695893333333e-06,1.55663e-06,0,19,10,-9.21536766666666e-07,-0.783757227600552,0.0348843461359717,0.156429698453871,"""PWY-5464","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle""","Not significant",1.45736941292278,0.805680791875803
"""P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I""","ITM","OTM1","OTM1 vs ITM",2.82123866666667e-06,1.72765733333333e-06,2.575635e-06,1.467875e-06,25,16,-1.09358133333333e-06,-0.707479251358243,0.0335084924137888,0.156429698453871,"""P4-PWY","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I""","Not significant",1.47484511114118,0.805680791875803
"ORNDEG-PWY: superpathway of ornithine degradation","ITM","OTM1","OTM1 vs ITM",2.16462986666667e-06,1.6091579e-06,1.89403e-06,1.246375e-06,27,26,-5.55471966666667e-07,-0.42779145328154,0.0325156490279743,0.156429698453871,"ORNDEG-PWY","superpathway of ornithine degradation","Not significant",1.48790757284308,0.805680791875803
"""PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type""","ITM","OTM1","OTM1 vs ITM",4.86717666666667e-05,3.68239166666667e-05,4.98608e-05,2.612885e-05,30,30,-1.184785e-05,-0.40244110537066,0.0338742801295203,0.156429698453871,"""PWY-7115","C4 photosynthetic carbon assimilation cycle, NAD-ME type""","Not significant",1.47012992531603,0.805680791875803
"PWY-6731: starch degradation III","ITM","OTM1","OTM1 vs ITM",1.02979773333333e-05,7.69287833333333e-06,9.5167e-06,6.93466e-06,30,29,-2.605099e-06,-0.42076085896979,0.0364388559134511,0.158248745681273,"PWY-6731","starch degradation III","Not significant",1.43843526721702,0.800659723622521
"HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)","ITM","OTM1","OTM1 vs ITM",2.25962213333333e-06,1.72000773333333e-06,2.34236e-06,1.61847e-06,29,28,-5.396144e-07,-0.393646456340727,0.0364284567390514,0.158248745681273,"HEMESYN2-PWY","heme b biosynthesis II (oxygen-independent)","Not significant",1.43855922688904,0.800659723622521
"GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway","ITM","OTM1","OTM1 vs ITM",1.70346773333333e-05,1.2298014e-05,1.453135e-05,7.12656e-06,28,26,-4.73666333333334e-06,-0.470046004295872,0.037688866531453,0.159524075553151,"GLYCOLYSIS-E-D","superpathway of glycolysis and the Entner-Doudoroff pathway","Not significant",1.42378692348267,0.797173763447955
"PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis","ITM","OTM1","OTM1 vs ITM",6.47762e-06,5.08657806666667e-06,5.935485e-06,4.186545e-06,30,29,-1.39104193333333e-06,-0.348762319228689,0.0377820178941672,0.159524075553151,"PWY-7688","dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis","Not significant",1.42271485062544,0.797173763447955
"PWY-561: superpathway of glyoxylate cycle and fatty acid degradation","ITM","OTM1","OTM1 vs ITM",2.26916253333333e-06,1.11890346666667e-06,1.26626e-06,0,20,12,-1.15025906666667e-06,-1.02000901976702,0.0418045314531695,0.163952739518539,"PWY-561","superpathway of glyoxylate cycle and fatty acid degradation","Not significant",1.37877663979335,0.785281322222158
"PWY-5677: succinate fermentation to butanoate","ITM","OTM1","OTM1 vs ITM",2.35248423333333e-06,1.37130883333333e-06,1.8187e-06,0,22,12,-9.811754e-07,-0.778587659156155,0.0394778770056052,0.163952739518539,"PWY-5677","succinate fermentation to butanoate","Not significant",1.40364621034742,0.785281322222158
"PWY-5265: peptidoglycan biosynthesis II (staphylococci)","ITM","OTM1","OTM1 vs ITM",1.32431703333333e-05,8.90213333333333e-06,1.201935e-05,9.62049e-06,28,27,-4.341037e-06,-0.573020209253826,0.0420097480170098,0.163952739518539,"PWY-5265","peptidoglycan biosynthesis II (staphylococci)","Not significant",1.37664992344059,0.785281322222158
"PWY0-1061: superpathway of L-alanine biosynthesis","ITM","OTM1","OTM1 vs ITM",9.17619266666667e-05,6.57410266666667e-05,7.757445e-05,4.15884e-05,30,30,-2.60209e-05,-0.481101073800891,0.0420668213238357,0.163952739518539,"PWY0-1061","superpathway of L-alanine biosynthesis","Not significant",1.37606030314043,0.785281322222158
"PWY-8004: Entner-Doudoroff pathway I","ITM","OTM1","OTM1 vs ITM",1.27180636666667e-05,9.50294033333333e-06,1.10776e-05,5.28694e-06,28,26,-3.21512333333333e-06,-0.42042932199884,0.0419669548492107,0.163952739518539,"PWY-8004","Entner-Doudoroff pathway I","Not significant",1.37709254234828,0.785281322222158
"PWY0-1477: ethanolamine utilization","ITM","OTM1","OTM1 vs ITM",8.61220033333333e-05,7.730766e-05,8.10067e-05,7.615345e-05,30,30,-8.81434333333334e-06,-0.155770318134869,0.0420668213238357,0.163952739518539,"PWY0-1477","ethanolamine utilization","Not significant",1.37606030314043,0.785281322222158
"PWY-7356: thiamine diphosphate salvage IV (yeast)","ITM","OTM1","OTM1 vs ITM",3.301125e-05,2.6413667e-05,3.1042e-05,2.742635e-05,30,30,-6.597583e-06,-0.321672072652348,0.0451462083807951,0.173727181617237,"PWY-7356","thiamine diphosphate salvage IV (yeast)","Not significant",1.34537871818424,0.760132225865933
"GLUTORN-PWY: L-ornithine biosynthesis I","ITM","OTM1","OTM1 vs ITM",0.000248643866666667,0.000222900133333333,0.00024445,0.000231826,30,30,-2.57437333333333e-05,-0.157683297822367,0.0467558423927718,0.177672201092533,"GLUTORN-PWY","L-ornithine biosynthesis I","Not significant",1.33016411398056,0.750380517363755
"HISDEG-PWY: L-histidine degradation I","ITM","OTM1","OTM1 vs ITM",8.92162066666667e-05,9.96098733333333e-05,8.941915e-05,9.83305e-05,30,30,1.03936666666667e-05,0.15898277233795,0.0484134994648137,0.179484193137846,"HISDEG-PWY","L-histidine degradation I","Not significant",1.31503352418974,0.745973792964703
"PWY-5941: glycogen degradation II","ITM","OTM1","OTM1 vs ITM",0.000316575,0.000295843333333333,0.000307879,0.000289256,30,30,-2.07316666666667e-05,-0.0977139129658935,0.0484134994648137,0.179484193137846,"PWY-5941","glycogen degradation II","Not significant",1.31503352418974,0.745973792964703
"""PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)""","ITM","OTM1","OTM1 vs ITM",8.79036166666667e-05,9.62163566666667e-05,8.87333e-05,9.52482e-05,30,30,8.31274e-06,0.130359505314497,0.0518771310539591,0.190007805306067,"""PWY-7383","anaerobic energy metabolism (invertebrates, cytosol)""","Not significant",1.28502404958654,0.721228558353861
"""P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate""","ITM","OTM1","OTM1 vs ITM",4.13078033333333e-05,3.22564466666667e-05,4.53382e-05,2.53042e-05,30,30,-9.05135666666667e-06,-0.356825840950608,0.0574595460285453,0.200778183823882,"""P461-PWY","hexitol fermentation to lactate, formate, ethanol and acetate""","Not significant",1.24063780956712,0.697283478576988
"PWY-5667: CDP-diacylglycerol biosynthesis I","ITM","OTM1","OTM1 vs ITM",4.24758833333333e-05,3.51160766666667e-05,3.968865e-05,3.39267e-05,30,30,-7.35980666666667e-06,-0.274511569120146,0.0574595460285453,0.200778183823882,"PWY-5667","CDP-diacylglycerol biosynthesis I","Not significant",1.24063780956712,0.697283478576988
"PWY0-1319: CDP-diacylglycerol biosynthesis II","ITM","OTM1","OTM1 vs ITM",4.24758833333333e-05,3.51160766666667e-05,3.968865e-05,3.39267e-05,30,30,-7.35980666666667e-06,-0.274511569120146,0.0574595460285453,0.200778183823882,"PWY0-1319","CDP-diacylglycerol biosynthesis II","Not significant",1.24063780956712,0.697283478576988
